id,rada_id,gender,surname,firstname,patronymic,faction,faction_position,committee,committee_position,int_organization,int_post,type_elect,party_id,num_in_party,district_num,region_id,date_oath,resignation_date,resignation_reason,birthday,presentAuto_present,presentAuto_absent,assistants_count_all,assistants_count_2,assistants_count_3,assistants_count_4,surname_en,firstname_en,patronymic_en
15684,378,2,Бєлькова,Ольга,Валентинівна,3027.0,918.0,3163.0,917.0,77.0,17.0,2,50,17,,,2019-08-29T00:00:00,,,1975-06-16T00:00:00,23,4,6.0,3.0,3.0,3.0,Bielkova,Olha,Valentynivna
20975,247,1,Бабій,Роман,Вячеславович,3025.0,918.0,3017.0,8.0,928.0,4.0,2,50,48,,,2019-08-29T00:00:00,,,1977-07-06T00:00:00,26,1,4.0,3.0,3.0,3.0,Babii,Roman,Viacheslavovych
20972,211,1,Бабак,Сергій,Віталійович,3025.0,918.0,3015.0,4.0,,,2,50,11,,,2019-08-29T00:00:00,,,1978-07-31T00:00:00,27,0,1.0,0.0,0.0,0.0,Babak,Serhii,Vitaliiovych
20974,72,1,Бабенко,Микола,Вікторович,,,3021.0,7.0,,,1,50,,90,32,2019-08-29T00:00:00,,,1980-09-17T00:00:00,18,9,2.0,2.0,2.0,2.0,Babenko,Mykola,Viktorovych
20976,150,1,Бакумов,Олександр,Сергійович,3025.0,918.0,3067.0,917.0,61.0,4.0,1,50,,173,63,2019-08-29T00:00:00,,,1989-04-25T00:00:00,27,0,7.0,2.0,2.0,2.0,Bakumov,Oleksandr,Serhiiovych
20977,99,1,Бакунець,Павло,Андрійович,,,3017.0,8.0,27.0,4.0,1,50,,122,46,2019-08-29T00:00:00,,,1987-07-10T00:00:00,26,1,6.0,3.0,3.0,3.0,Bakunets,Pavlo,Andriiovych
5566,51,1,Балога,Віктор,Іванович,3030.0,920.0,3014.0,8.0,,,1,192,,69,21,2019-08-29T00:00:00,,,1963-06-15T00:00:00,26,1,9.0,2.0,2.0,2.0,Baloha,Viktor,Ivanovych
19958,261,2,Бардіна,Марина,Олегівна,3025.0,918.0,3053.0,1033.0,75.0,16.0,2,50,62,,,2019-08-29T00:00:00,,,1992-12-17T00:00:00,23,4,8.0,1.0,1.0,1.0,Bardina,Maryna,Olehivna
18063,100,1,Батенко,Тарас,Іванович,3030.0,1042.0,3004.0,8.0,27.0,4.0,1,224,,123,46,2019-08-29T00:00:00,,,1974-06-20T00:00:00,27,0,8.0,5.0,5.0,5.0,Batenko,Taras,Ivanovych
20978,275,1,Безгін,Віталій,Юрійович,3025.0,918.0,3123.0,917.0,20.0,4.0,2,50,77,,,2019-08-29T00:00:00,,,1990-04-18T00:00:00,27,0,4.0,1.0,1.0,1.0,Bezghin,Vitalii,Yuriiovych
20979,194,2,Безугла,Мар'яна,Володимирівна,3025.0,918.0,3071.0,1033.0,48.0,4.0,1,50,,217,85,2019-08-29T00:00:00,,,1988-05-17T00:00:00,26,1,6.0,2.0,2.0,2.0,Bezuhla,Mariana,Volodymyrivna
20980,210,1,Беленюк,Жан,Венсанович,3025.0,918.0,3012.0,916.0,61.0,4.0,2,50,10,,,2019-08-29T00:00:00,,,1991-01-24T00:00:00,15,12,12.0,2.0,2.0,2.0,Beleniuk,Zhan,Vensanovych
20981,128,1,Березін,Максим,Юрійович,3025.0,918.0,3075.0,917.0,20.0,4.0,1,50,,151,53,2019-08-29T00:00:00,,,1984-05-09T00:00:00,24,3,5.0,1.0,1.0,1.0,Berezin,Maksym,Yuriiovych
20983,122,1,Боблях,Андрій,Ростиславович,3025.0,918.0,3005.0,8.0,61.0,4.0,1,50,,145,53,2019-08-29T00:00:00,,,1985-03-05T00:00:00,25,2,2.0,2.0,2.0,2.0,Bobliakh,Andrii,Rostyslavovych
20984,417,2,Бобровська,Соломія,Анатоліївна,3029.0,918.0,3010.0,7.0,20.0,2.0,2,229,9,,,2019-08-29T00:00:00,,,1989-12-20T00:00:00,21,6,7.0,2.0,2.0,2.0,Bobrovska,Solomiia,Anatoliivna
20985,140,1,Богданець,Андрій,Володимирович,3025.0,918.0,3150.0,917.0,259.0,359.0,1,50,,163,61,2019-08-29T00:00:00,,,1983-07-13T00:00:00,25,2,6.0,1.0,1.0,1.0,Bohdanets,Andrii,Volodymyrovych
20986,292,2,Богуцька,Єлізавета,Петрівна,3025.0,918.0,3005.0,8.0,,,2,50,95,,,2019-08-29T00:00:00,,,1964-04-14T00:00:00,25,2,3.0,1.0,1.0,1.0,Bohutska,Yelizaveta,Petrivna
20987,181,1,Божик,Валерій,Іванович,3025.0,918.0,3017.0,5.0,,,1,50,,204,74,2019-08-29T00:00:00,,,1971-03-27T00:00:00,25,2,6.0,2.0,2.0,2.0,Bozhyk,Valerii,Ivanovych
11094,325,1,Бойко,Юрій,Анатолійович,3026.0,1050.0,3016.0,8.0,,,2,227,1,,,2019-08-29T00:00:00,,,1958-10-09T00:00:00,26,1,14.0,4.0,4.0,4.0,Boiko,Yurii,Anatoliiovych
15826,168,1,Бондар,Віктор,Васильович,3030.0,1042.0,3022.0,8.0,928.0,4.0,1,50,,191,68,2019-08-29T00:00:00,,,1975-11-05T00:00:00,27,0,15.0,3.0,3.0,3.0,Bondar,Viktor,Vasylovych
20988,197,2,Бондар,Ганна,Вячеславівна,3025.0,918.0,3127.0,917.0,61.0,4.0,1,50,,220,85,2019-08-29T00:00:00,,,1975-02-23T00:00:00,21,6,6.0,2.0,2.0,2.0,Bondar,Hanna,Viacheslavivna
18066,96,1,Бондар,Михайло,Леонтійович,3028.0,918.0,3140.0,917.0,27.0,4.0,1,50,,119,46,2019-08-29T00:00:00,,,1973-11-17T00:00:00,27,0,11.0,3.0,3.0,3.0,Bondar,Mykhailo,Leontiiovych
11153,375,1,Бондарєв,Костянтин,Анатолійович,3027.0,918.0,3104.0,917.0,74.0,497.0,2,17,14,,,2019-08-29T00:00:00,,,1972-09-13T00:00:00,24,3,6.0,3.0,3.0,3.0,Bondariev,Kostiantyn,Anatoliiovych
20989,259,1,Бондаренко,Олег,Володимирович,3025.0,918.0,3006.0,4.0,61.0,4.0,2,50,60,,,2019-08-29T00:00:00,,,1975-11-03T00:00:00,24,3,12.0,3.0,3.0,3.0,Bondarenko,Oleh,Volodymyrovych
20990,5,2,Борзова,Ірина,Наумівна,3025.0,918.0,3037.0,917.0,48.0,4.0,1,50,,14,5,2019-08-29T00:00:00,,,1982-08-28T00:00:00,21,6,5.0,1.0,1.0,1.0,Borzova,Iryna,Naumivna
20991,29,1,Бородін,Владислав,Валерійович,3025.0,918.0,3018.0,8.0,61.0,4.0,1,50,,38,12,2019-08-29T00:00:00,,,1971-06-18T00:00:00,25,2,3.0,2.0,2.0,2.0,Borodin,Vladyslav,Valeriiovych
8731,352,1,Борт,Віталій,Петрович,3026.0,918.0,3004.0,8.0,,,2,227,28,,,2019-08-29T00:00:00,,,1972-09-01T00:00:00,22,5,4.0,2.0,2.0,2.0,Bort,Vitalii,Petrovych
20992,274,1,Брагар,Євгеній,Вадимович,3025.0,918.0,3020.0,5.0,928.0,4.0,2,50,76,,,2019-08-29T00:00:00,,,1994-05-30T00:00:00,25,2,3.0,3.0,3.0,3.0,Brahar,Yevhenii,Vadymovych
20993,16,1,Бужанський,Максим,Аркадійович,3025.0,918.0,3018.0,8.0,,,1,50,,25,12,2019-08-29T00:00:00,,,1974-11-24T00:00:00,27,0,4.0,2.0,2.0,2.0,Buzhanskyi,Maksym,Arkadiiovych
20994,200,2,Буймістер,Людмила,Анатоліївна,3025.0,918.0,3161.0,917.0,27.0,4.0,1,50,,223,85,2019-08-29T00:00:00,,,1985-11-05T00:00:00,13,14,,,,,Buimister,Liudmyla,Anatoliivna
20995,286,2,Булах,Лада,Валентинівна,3025.0,918.0,3085.0,917.0,48.0,4.0,2,50,89,,,2019-08-29T00:00:00,,,1976-02-11T00:00:00,26,1,6.0,1.0,1.0,1.0,Bulakh,Lada,Valentynivna
20996,80,1,Бунін,Сергій,Валерійович,3025.0,918.0,3002.0,8.0,27.0,4.0,1,50,,98,32,2019-08-29T00:00:00,,,1971-05-03T00:00:00,25,2,2.0,2.0,2.0,2.0,Bunin,Serhii,Valeriiovych
20997,344,1,Бурміч,Анатолій,Петрович,3026.0,918.0,3003.0,8.0,20.0,4.0,2,227,20,,,2019-08-29T00:00:00,,,1962-08-13T00:00:00,25,2,7.0,1.0,1.0,1.0,Burmich,Anatolii,Petrovych
21011,313,2,Вінтоняк,Олена,Василівна,3025.0,918.0,3180.0,917.0,61.0,4.0,2,226,117,,,2019-08-29T00:00:00,,,1979-03-29T00:00:00,25,2,4.0,2.0,2.0,2.0,Vintoniak,Olena,Vasylivna
20998,160,2,Вагнєр,Вікторія,Олександрівна,3025.0,918.0,3009.0,8.0,27.0,4.0,1,50,,183,65,2019-08-29T00:00:00,,,1981-05-21T00:00:00,24,3,4.0,1.0,1.0,1.0,Vahnier,Viktoriia,Oleksandrivna
11120,409,1,Вакарчук,Святослав,Іванович,3029.0,918.0,3010.0,8.0,27.0,4.0,2,229,1,,,2019-08-29T00:00:00,,,1975-05-14T00:00:00,17,10,4.0,1.0,1.0,1.0,Vakarchuk,Sviatoslav,Ivanovych
21001,141,1,Василів,Ігор,Володимирович,3025.0,918.0,3022.0,8.0,259.0,359.0,1,50,,164,61,2019-08-29T00:00:00,,,1979-11-16T00:00:00,26,1,3.0,1.0,1.0,1.0,Vasyliv,Ihor,Volodymyrovych
20999,78,2,Василевська-Смаглюк,Ольга,Михайлівна,3025.0,918.0,3164.0,917.0,61.0,4.0,1,50,,96,32,2019-08-29T00:00:00,,,1985-06-23T00:00:00,23,4,9.0,3.0,3.0,3.0,Vasylevska-Smahliuk,Olha,Mykhailivna
21000,424,2,Василенко,Леся,Володимирівна,3029.0,918.0,3004.0,8.0,75.0,16.0,2,229,17,,,2019-08-29T00:00:00,,,1987-03-31T00:00:00,15,12,7.0,2.0,2.0,2.0,Vasylenko,Lesia,Volodymyrivna
21002,135,1,Васильєв,Ігор,Сергійович,3025.0,918.0,3024.0,8.0,928.0,4.0,1,50,,158,59,2019-08-29T00:00:00,,,1984-08-25T00:00:00,20,7,5.0,1.0,1.0,1.0,Vasyliev,Ihor,Serhiiovych
21003,116,1,Васильковський,Ігор,Ігорович,3025.0,918.0,3099.0,917.0,,,1,50,,139,51,2019-08-29T00:00:00,,,1985-03-31T00:00:00,16,11,8.0,1.0,1.0,1.0,Vasylkovskyi,Ihor,Ihorovych
21004,95,2,Васильченко,Галина,Іванівна,3029.0,918.0,3023.0,8.0,27.0,4.0,1,50,,118,46,2019-08-29T00:00:00,,,1983-10-24T00:00:00,26,1,8.0,2.0,2.0,2.0,Vasylchenko,Halyna,Ivanivna
21005,270,1,Ватрас,Володимир,Антонович,3025.0,918.0,3017.0,8.0,527.0,4.0,2,50,72,,,2019-08-29T00:00:00,,,1980-02-12T00:00:00,26,1,17.0,2.0,2.0,2.0,Vatras,Volodymyr,Antonovych
21006,7,1,Вацак,Геннадій,Анатолійович,3030.0,920.0,3022.0,7.0,,,1,50,,16,5,2019-08-29T00:00:00,,,1972-02-09T00:00:00,22,5,4.0,1.0,1.0,1.0,Vatsak,Hennadii,Anatoliiovych
17961,404,1,Величкович,Микола,Романович,3028.0,918.0,3022.0,8.0,834.0,17.0,2,50,19,,,2019-08-29T00:00:00,,,1972-11-18T00:00:00,27,0,7.0,3.0,3.0,3.0,Velychkovych,Mykola,Romanovych
21007,89,1,Вельможний,Сергій,Анатолійович,,,3017.0,8.0,61.0,4.0,1,225,,112,43,2019-08-29T00:00:00,,,1976-06-25T00:00:00,27,0,5.0,2.0,2.0,2.0,Velmozhnyi,Serhii,Anatoliiovych
21009,285,1,Веніславський,Федір,Володимирович,3025.0,918.0,3013.0,8.0,,,2,50,88,,,2019-08-29T00:00:00,,,1969-05-16T00:00:00,23,4,6.0,1.0,1.0,1.0,Venislavskyi,Fedir,Volodymyrovych
21008,203,2,Венедіктова,Ірина,Валентинівна,3025.0,918.0,3017.0,4.0,,,2,50,3,,,2019-08-29T00:00:00,,,1978-09-21T00:00:00,26,1,2.0,2.0,2.0,2.0,Venediktova,Iryna,Valentynivna
21010,229,2,Верещук,Ірина,Андріївна,3025.0,918.0,3072.0,917.0,574.0,359.0,2,50,29,,,2019-08-29T00:00:00,,,1979-11-30T00:00:00,20,7,6.0,0.0,0.0,0.0,Vereshchuk,Iryna,Andriivna
12265,370,1,Власенко,Сергій,Володимирович,3027.0,918.0,3017.0,8.0,61.0,4.0,2,17,9,,,2019-08-29T00:00:00,,,1967-03-07T00:00:00,14,13,3.0,2.0,2.0,2.0,Vlasenko,Serhii,Volodymyrovych
5417,381,1,Волинець,Михайло,Якович,3027.0,918.0,3143.0,917.0,928.0,4.0,2,50,20,,,2019-08-29T00:00:00,,,1956-10-30T00:00:00,19,8,16.0,4.0,4.0,4.0,Volynets,Mykhailo,Yakovych
21012,264,2,Володіна,Дар'я,Артемівна,3025.0,918.0,3173.0,917.0,834.0,17.0,2,50,65,,,2019-08-29T00:00:00,,,1991-04-16T00:00:00,26,1,1.0,0.0,0.0,0.0,Volodina,Daria,Artemivna
21013,354,1,Волошин,Олег,Анатолійович,3026.0,918.0,3011.0,5.0,75.0,17.0,2,227,30,,,2019-08-29T00:00:00,,,1981-04-07T00:00:00,20,7,8.0,2.0,2.0,2.0,Voloshyn,Oleh,Anatoliiovych
21014,240,1,Воронов,Володимир,Анатолійович,3025.0,918.0,3076.0,917.0,61.0,4.0,2,226,41,,,2019-08-29T00:00:00,,,1978-08-23T00:00:00,21,6,2.0,1.0,1.0,1.0,Voronov,Volodymyr,Anatoliiovych
21015,85,1,Воронько,Олег,Євгенійович,3025.0,918.0,3023.0,8.0,259.0,359.0,1,50,,103,35,2019-08-29T00:00:00,,,1974-05-15T00:00:00,27,0,6.0,1.0,1.0,1.0,Voronko,Oleh,Yevheniiovych
21016,105,1,Гайду,Олександр,Васильович,3025.0,918.0,3156.0,917.0,427.0,16.0,1,50,,128,48,2019-08-29T00:00:00,,,1976-01-28T00:00:00,21,6,2.0,1.0,1.0,1.0,Haidu,Oleksandr,Vasylovych
21017,243,1,Галайчук,Вадим,Сергійович,3025.0,918.0,3011.0,916.0,77.0,16.0,2,50,44,,,2019-08-29T00:00:00,,,1971-02-14T00:00:00,21,6,4.0,3.0,3.0,3.0,Halaichuk,Vadym,Serhiiovych
21018,79,1,Галушко,Микола,Леонідович,3025.0,918.0,3018.0,8.0,27.0,4.0,1,50,,97,32,2019-08-29T00:00:00,,,1979-12-05T00:00:00,24,3,17.0,4.0,4.0,4.0,Halushko,Mykola,Leonidovych
21019,144,1,Гевко,Володимир,Леонідович,3025.0,918.0,3004.0,5.0,27.0,4.0,1,50,,167,61,2019-08-29T00:00:00,,,1975-08-20T00:00:00,27,0,6.0,2.0,2.0,2.0,Hevko,Volodymyr,Leonidovych
21020,44,1,Герасименко,Ігор,Леонідович,3025.0,918.0,3013.0,8.0,48.0,4.0,1,50,,62,18,2019-08-29T00:00:00,,,1984-01-05T00:00:00,25,2,9.0,1.0,1.0,1.0,Herasymenko,Ihor,Leonidovych
17985,396,1,Герасимов,Артур,Володимирович,3028.0,1050.0,3002.0,8.0,27.0,4.0,2,228,11,,,2019-08-29T00:00:00,,,1972-08-23T00:00:00,25,2,3.0,2.0,2.0,2.0,Herasymov,Artur,Volodymyrovych
11121,388,2,Геращенко,Ірина,Володимирівна,3028.0,1050.0,3010.0,8.0,27.0,4.0,2,228,3,,,2019-08-29T00:00:00,,,1971-05-15T00:00:00,27,0,7.0,3.0,3.0,3.0,Herashchenko,Iryna,Volodymyrivna
15827,169,1,Герега,Олександр,Володимирович,3030.0,920.0,3167.0,917.0,928.0,4.0,1,230,,192,68,2019-08-29T00:00:00,,,1967-06-27T00:00:00,23,4,23.0,1.0,1.0,1.0,Hereha,Oleksandr,Volodymyrovych
21021,26,1,Герман,Денис,Вадимович,3025.0,918.0,3063.0,917.0,27.0,4.0,1,50,,35,12,2019-08-29T00:00:00,,,1981-09-08T00:00:00,25,2,7.0,2.0,2.0,2.0,Herman,Denys,Vadymovych
21022,217,1,Герус,Андрій,Михайлович,3025.0,918.0,3008.0,4.0,527.0,4.0,2,50,17,,,2019-08-29T00:00:00,,,1982-03-18T00:00:00,19,8,2.0,1.0,1.0,1.0,Herus,Andrii,Mykhailovych
21023,220,1,Гетманцев,Данило,Олександрович,3025.0,918.0,3023.0,4.0,,,2,50,20,,,2019-08-29T00:00:00,,,1978-04-26T00:00:00,24,3,9.0,1.0,1.0,1.0,Hetmantsev,Danylo,Oleksandrovych
21024,36,1,Гнатенко,Валерій,Сергійович,3026.0,918.0,3004.0,8.0,48.0,4.0,1,227,,49,14,2019-08-29T00:00:00,,,1967-02-03T00:00:00,25,2,10.0,3.0,3.0,3.0,Hnatenko,Valerii,Serhiiovych
17984,114,1,Гончаренко,Олексій,Олексійович,3028.0,918.0,3004.0,8.0,75.0,16.0,1,50,,137,51,2019-08-29T00:00:00,,,1980-09-16T00:00:00,25,2,4.0,2.0,2.0,2.0,Honcharenko,Oleksii,Oleksiiovych
21025,305,1,Горбенко,Руслан,Олександрович,3025.0,918.0,3016.0,5.0,61.0,4.0,2,50,109,,,2019-08-29T00:00:00,,,1979-03-12T00:00:00,23,4,6.0,0.0,0.0,0.0,Horbenko,Ruslan,Oleksandrovych
18075,50,1,Горват,Роберт,Іванович,,,3176.0,917.0,27.0,4.0,1,50,,68,21,2019-08-29T00:00:00,,,1969-02-17T00:00:00,27,0,13.0,9.0,9.0,9.0,Horvat,Robert,Ivanovych
21026,113,1,Горенюк,Олександр,Олександрович,3025.0,918.0,3022.0,8.0,928.0,4.0,1,50,,136,51,2019-08-29T00:00:00,,,1991-08-08T00:00:00,25,2,4.0,2.0,2.0,2.0,Horeniuk,Oleksandr,Oleksandrovych
14603,77,1,Горобець,Олександр,Сергійович,3025.0,918.0,3133.0,917.0,928.0,4.0,1,50,,95,32,2019-08-29T00:00:00,,,1978-02-15T00:00:00,27,0,3.0,3.0,3.0,3.0,Horobets,Oleksandr,Serhiiovych
21027,86,2,Гриб,Вікторія,Олександрівна,,,3008.0,8.0,,,1,50,,105,43,2019-08-29T00:00:00,,,1968-06-19T00:00:00,27,0,10.0,2.0,2.0,2.0,Hryb,Viktoriia,Oleksandrivna
21028,310,1,Гривко,Сергій,Дмитрович,3025.0,918.0,3021.0,8.0,48.0,4.0,2,226,114,,,2019-08-29T00:00:00,,,1985-12-12T00:00:00,23,4,1.0,1.0,1.0,1.0,Hryvko,Serhii,Dmytrovych
21029,266,2,Гринчук,Оксана,Анатоліївна,3025.0,918.0,3096.0,917.0,61.0,4.0,2,50,67,,,2019-08-29T00:00:00,,,1979-06-20T00:00:00,26,1,2.0,2.0,2.0,2.0,Hrynchuk,Oksana,Anatoliivna
21327,430,2,Гришина,Юлія,Миколаївна,3025.0,918.0,3015.0,8.0,48.0,4.0,2,50,133,,,2019-09-03T00:00:00,,,1978-06-16T00:00:00,22,3,4.0,2.0,2.0,2.0,Hryshyna,Yuliia,Mykolaivna
21030,48,2,Грищенко,Тетяна,Миколаївна,3025.0,918.0,3002.0,8.0,20.0,4.0,1,50,,66,18,2019-08-29T00:00:00,,,1979-08-27T00:00:00,26,1,9.0,2.0,2.0,2.0,Hryshchenko,Tetiana,Mykolaivna
21031,199,1,Грищук,Роман,Павлович,3025.0,918.0,3015.0,8.0,48.0,4.0,1,50,,222,85,2019-08-29T00:00:00,,,1989-08-27T00:00:00,25,2,5.0,1.0,1.0,1.0,Hryshchuk,Roman,Pavlovych
21032,138,1,Гузенко,Максим,Васильович,3025.0,918.0,3002.0,8.0,27.0,4.0,1,50,,161,59,2019-08-29T00:00:00,,,1981-06-08T00:00:00,21,6,12.0,0.0,0.0,0.0,Huzenko,Maksym,Vasylovych
14674,10,1,Гузь,Ігор,Володимирович,3030.0,920.0,3014.0,5.0,20.0,4.0,1,50,,19,7,2019-08-29T00:00:00,,,1982-01-11T00:00:00,27,0,3.0,3.0,3.0,3.0,Huz,Ihor,Volodymyrovych
21033,195,1,Гурін,Дмитро,Олександрович,3025.0,918.0,3124.0,917.0,257.0,359.0,1,50,,218,85,2019-08-29T00:00:00,,,1982-03-24T00:00:00,20,7,2.0,0.0,0.0,0.0,Hurin,Dmytro,Oleksandrovych
21036,231,2,Діденко,Юлія,Олександрівна,3025.0,918.0,3169.0,917.0,61.0,4.0,2,50,32,,,2019-08-29T00:00:00,,,1978-05-08T00:00:00,26,1,2.0,1.0,1.0,1.0,Didenko,Yuliia,Oleksandrivna
18079,185,1,Давиденко,Валерій,Миколайович,,,3007.0,8.0,573.0,33.0,1,50,,208,77,2019-08-29T00:00:00,,,1973-03-16T00:00:00,27,0,1.0,1.0,1.0,1.0,Davydenko,Valerii,Mykolaiovych
11147,377,1,Данілов,Віталій,Богданович,3027.0,918.0,3018.0,8.0,61.0,4.0,2,17,16,,,2019-08-29T00:00:00,,,1967-06-10T00:00:00,17,10,10.0,4.0,4.0,4.0,Danilov,Vitalii,Bohdanovych
21034,81,1,Дануца,Олександр,Анатолійович,3025.0,918.0,3066.0,917.0,61.0,4.0,1,226,,99,35,2019-08-29T00:00:00,,,1980-01-29T00:00:00,27,0,6.0,2.0,2.0,2.0,Danutsa,Oleksandr,Anatoliiovych
21035,20,1,Демченко,Сергій,Олексійович,3025.0,918.0,3017.0,8.0,928.0,4.0,1,50,,29,12,2019-08-29T00:00:00,,,1976-03-13T00:00:00,25,2,2.0,1.0,1.0,1.0,Demchenko,Serhii,Oleksiiovych
2284,136,1,Деркач,Андрій,Леонідович,,,,,,,1,50,,159,59,2019-08-29T00:00:00,,,1967-08-19T00:00:00,17,10,11.0,2.0,2.0,2.0,Derkach,Andrii,Leonidovych
